Bank,FD Rate of Interest,Senior Citizen FD Rates
SBI Fixed Deposit,2.90% - 5.40%,3.40% - 6.20%
HDFC Bank Fixed Deposit,3.00% - 5.75%,3.50% - 6.50%
ICICI Bank Fixed Deposit,3.25% - 5.75%,3.75% - 6.25%
Axis Bank,3.25% - 5.80%,3.25% - 6.45%
Kotak Bank,3.00% - 5.50%,3.50% - 6.00%
IDFC First Bank,4.00% - 7.25%,4.50% - 7.75%
Bank of Baroda,3.30% - 5.70%,3.80% - 6.20%
Citibank,2.75% - 4.00%,3.25% - 4.50%
IDBI Bank,3.10% - 5.90%,3.60% - 6.40%
Indian Bank,3.75% - 5.75%,4.25% - 6.25%
Indian Overseas Bank,4.50% - 5.75%,5.25% - 6.50%
OBC,3.50% - 5.75%,4.00% - 6.25%
PNB,3.50% - 5.75%,4.00% - 6.25%
HDFC,7.08% - 7.08%,7.33% - 7.33%
PNB Housing Finance,7.20% - 7.75%,7.45% - 8.00%
Allahabad Bank,3.75% - 5.75%,4.25% - 6.25%
Andhra Bank,4.00% - 5.90%,4.50% - 6.40%
Bank of India,4.00% - 5.90%,4.50% - 6.40%
Bank of Maharashtra,3.25% - 5.50%,3.25% - 6.00%
Canara Bank,4.00% - 5.75%,4.00% - 6.25%
Central Bank of India,3.70% - 5.65%,4.20% - 6.15%
Punjab and Sind Bank,4.00% - 5.85%,4.50% - 6.35%
UCO Bank,3.90% - 5.75%,4.15% - 6.25%
Union Bank of India,4.00% - 5.90%,4.50% - 6.40%
United Bank of India,3.50% - 5.75%,4.00% - 6.25%
Yes Bank,5.00% - 7.25%,5.50% - 7.75%
Syndicate Bank,4.00% - 6.30%,4.00% - 6.80%
Standard Chartered Bank,4.25% - 6.50%,4.25% - 6.50%
Dhan Laxmi Bank,3.50% - 6.40%,4.00% - 6.90%
Bajaj Finance,7.40% - 7.60%,7.65% - 7.85%
LIC Housing Finance,7.50% - 7.60%,7.75% - 7.85%
Federal Bank,3.50% - 6.10%,4.00% - 6.60%
AU Small Finance Bank,4.00% - 7.25%,4.50% - 7.75%
Corporation Bank,4.00% - 5.90%,4.50% - 6.40%
ESAF Small Finance Bank,5.00% - 7.50%,5.50% - 8.00%
IndusInd Bank,4.00% - 7.00%,4.50% - 7.50%
RBL Bank,5.00% - 7.50%,5.50% - 8.00%
HSBC Bank,2.25% - 4.00%,2.75% - 5.25%
DCB Bank,5.00% - 7.35%,5.50% - 7.85%
South Indian Bank,4.00% - 6.30%,4.50% - 6.80%
Bandhan Bank,3.25% - 6.50%,4.00% - 7.25%
Lakshmi Vilas Bank,4.00% - 7.25%,4.00% - 7.25%
Equitas Small Finance Bank,4.00% - 8.00%,4.60% - 8.60%
Jana Small Finance Bank,5.00% - 8.00%,5.50% - 8.50%
DHFL,8.50% - 9.25%,9.00% - 9.75%
Karnataka Bank,3.50% - 5.90%,4.00% - 6.40%
DBS Bank,4.00% - 5.70%,4.00% - 5.70%
Jammu And Kashmir Bank,3.50% - 5.70%,4.00% - 6.20%
Ujjivan Small Finance Bank,4.50% - 7.50%,5.00% - 8.00%
Fincare Small Finance Bank,4.00% - 8.50%,4.50% - 9.00%
Karur Vysya Bank,4.15% - 6.05%,4.15% - 6.55%
