Name of Bank,Tenure,Interest
SBI Fixed Deposit,7 days to 45 days,2.90%
SBI Fixed Deposit,46 days to 179 days,3.90%
SBI Fixed Deposit,180 days to 210 days,4.40%
SBI Fixed Deposit,211 days to 364 days,4.40%
SBI Fixed Deposit,1 year to 1 year 364 days,5.10%
SBI Fixed Deposit,2 years to 2 years 364 days,5.10%
SBI Fixed Deposit,3 years to 4 years 364 days,5.30%
SBI Fixed Deposit,5 years to 10 years,5.40%
HDFC Bank Fixed Deposit,7 days to 14 days,3.00%
HDFC Bank Fixed Deposit,15 days to 29 days,3.50%
HDFC Bank Fixed Deposit,30 days to 45 days,4.00%
HDFC Bank Fixed Deposit,46 days to 90 days,4.50%
HDFC Bank Fixed Deposit,91 days to 6 months,4.50%
HDFC Bank Fixed Deposit,6 months 1 day to 9 months,5.00%
HDFC Bank Fixed Deposit,9 months 1 day to 1 year,5.25%
HDFC Bank Fixed Deposit,1 year,5.60%
HDFC Bank Fixed Deposit,1 year 1 day to 2 years,5.60%
HDFC Bank Fixed Deposit,2 years 1 day to 3 years,5.75%
ICICI Bank Fixed Deposit,7 days to 14 days,3.25%
ICICI Bank Fixed Deposit,15 days to 29 days,3.50%
ICICI Bank Fixed Deposit,30 days to 45 days,3.75%
ICICI Bank Fixed Deposit,46 days to 60 days,4.25%
ICICI Bank Fixed Deposit,61 days to 184 days,4.25%
ICICI Bank Fixed Deposit,185 days to 289 days,4.75%
ICICI Bank Fixed Deposit,290 days to 364 days,5.25%
ICICI Bank Fixed Deposit,390 days to 17 months 29 days,5.55%
ICICI Bank Fixed Deposit,18 months to 2 years,5.75%
ICICI Bank Fixed Deposit,1 year to 389 days,5.55%
Axis Bank,7 days to 14 days,3.25%
Axis Bank,15 days to 29 days,3.50%
Axis Bank,30 days to 45 days,4.00%
Axis Bank,46 days to 60 days,4.50%
Axis Bank,61 days to 3 months,4.50%
Axis Bank,90 days to 119 days,4.50%
Axis Bank,4 months to 5 months,4.50%
Axis Bank,5 months to 6 months,4.50%
Axis Bank,6 months to 8 months 29 days,5.00%
Axis Bank,9 months to 11 months 25 days,5.25%
Kotak Bank,7 days to 14 days,3.00%
Kotak Bank,15 days to 30 days,3.50%
Kotak Bank,31 days to 45 days,3.50%
Kotak Bank,46 days to 90 days,4.25%
Kotak Bank,91 days to 120 days,4.50%
Kotak Bank,121 days to 179 days,4.50%
Kotak Bank,180 days,5.00%
Kotak Bank,181 days to 269 days,5.00%
Kotak Bank,270 days,5.00%
Kotak Bank,271 days to 363 days,5.25%
IDFC First Bank,7 days to 14 days,4.00%
IDFC First Bank,15 days to 29 days,5.00%
IDFC First Bank,30 days to 45 days,6.25%
IDFC First Bank,46 days to 90 days,6.50%
IDFC First Bank,91 days to 180 days,6.75%
IDFC First Bank,181 days to 364 days,7.00%
IDFC First Bank,500 days,7.25%
IDFC First Bank,501 days to 2 years,7.25%
IDFC First Bank,1 year to 499 days,7.25%
IDFC First Bank,2 years 1 day to 5 years,7.25%
Bank of Baroda,7 days to 14 days,3.30%
Bank of Baroda,15 days to 45 days,3.30%
Bank of Baroda,46 days to 90 days,4.30%
Bank of Baroda,91 days to 180 days,4.30%
Bank of Baroda,181 days to 270 days,4.85%
Bank of Baroda,271 days to 364 days,4.85%
Bank of Baroda,400 days to 2 years,5.55%
Bank of Baroda,1 year,5.55%
Bank of Baroda,1 year 1 day to 400 days,5.55%
Bank of Baroda,2 years 1 day to 3 years,5.55%
Citibank,7 days to 14 days,2.75%
Citibank,15 days to 25 days,3.00%
Citibank,26 days to 35 days,3.00%
Citibank,36 days to 45 days,4.00%
Citibank,46 days to 90 days,4.00%
Citibank,91 days to 120 days,3.00%
Citibank,121 days to 150 days,3.00%
Citibank,151 days to 180 days,3.00%
Citibank,181 days to 270 days,3.00%
Citibank,271 days to 400 days,3.00%
IDBI Bank,7 days to 14 days,3.10%
IDBI Bank,15 days to 30 days,4.00%
IDBI Bank,31 days to 45 days,4.25%
IDBI Bank,46 days to 60 days,4.75%
IDBI Bank,61 days to 90 days,4.75%
IDBI Bank,91 days to 6 months,4.75%
IDBI Bank,271 days to 364 days,5.50%
IDBI Bank,6 months 1 day to 270 days,5.25%
IDBI Bank,1 year,5.80%
IDBI Bank,1 year to 2 years,5.75%
Indian Bank,7 days to 14 days,3.75%
Indian Bank,15 days to 29 days,3.75%
Indian Bank,30 days to 45 days,3.75%
Indian Bank,46 days to 90 days,3.75%
Indian Bank,91 days to 180 days,4.75%
Indian Bank,181 days to 269 days,5.25%
Indian Bank,9 months to 364 days,5.25%
Indian Bank,1 year,5.75%
Indian Bank,1 year 1 day to 1 year 364 days,5.65%
Indian Bank,2 years to 4 years 364 days,5.65%
Indian Overseas Bank,7 days to 45 days,4.50%
Indian Overseas Bank,46 days to 90 days,4.60%
Indian Overseas Bank,91 days to 120 days,4.85%
Indian Overseas Bank,121 days to 179 days,5.10%
Indian Overseas Bank,180 days to 269 days,5.35%
Indian Overseas Bank,270 days to 364 days,5.60%
Indian Overseas Bank,444 days,5.75%
Indian Overseas Bank,1 year 1 day to 1 year 364 days,5.70%
Indian Overseas Bank,2 years to 2 years 364 days,5.70%
Indian Overseas Bank,3 years to 10 years,5.70%
OBC,to 444 years,5.75%
OBC,to 555 years,5.75%
OBC,7 days to 14 days,3.50%
OBC,15 days to 29 days,3.50%
OBC,30 days to 45 days,3.50%
OBC,46 days to 90 days,4.50%
OBC,91 days to 179 days,4.50%
OBC,180 days to 270 days,5.00%
OBC,271 days to 364 days,5.25%
OBC,333 days,5.40%
PNB,7 days to 14 days,3.50%
PNB,15 days to 29 days,3.50%
PNB,30 days to 45 days,3.50%
PNB,46 days to 90 days,4.50%
PNB,91 days to 179 days,4.50%
PNB,180 days to 270 days,5.00%
PNB,271 days to 364 days,5.25%
PNB,333 days,5.40%
PNB,444 days,5.75%
PNB,555 days,5.75%
HDFC,33 months,7.08%
HDFC,66 months,7.08%
PNB Housing Finance,to 120 months,7.50%
PNB Housing Finance,12 months to 23 months,7.20%
PNB Housing Finance,24 months to 35 months,7.30%
PNB Housing Finance,36 months to 47 months,7.60%
PNB Housing Finance,48 months to 59 months,7.70%
PNB Housing Finance,60 months to 71 months,7.75%
PNB Housing Finance,72 months to 84 months,7.75%
Allahabad Bank,7 days to 14 days,3.75%
Allahabad Bank,15 days to 29 days,3.75%
Allahabad Bank,30 days to 45 days,3.75%
Allahabad Bank,46 days to 90 days,3.75%
Allahabad Bank,91 days to 180 days,4.75%
Allahabad Bank,181 days to 269 days,5.25%
Allahabad Bank,270 days to 364 days,5.25%
Allahabad Bank,1 year,5.75%
Allahabad Bank,1 year 1 day to 1 year 11 months 29 days,5.65%
